Source,CH1
Second,Volt
-0.00389760011,1.44000,
-0.00389720011,1.46000,
-0.00389680010,1.44000,
-0.00389640010,1.48000,
-0.00389600010,1.48000,
-0.00389560009,1.46000,
-0.00389520009,1.48000,
-0.00389480009,1.48000,
-0.00389440008,1.48000,
-0.00389400008,1.48000,
-0.00389360008,1.48000,
-0.00389320008,1.48000,
-0.00389280007,1.48000,
-0.00389240007,1.48000,
-0.00389200007,1.50000,
-0.00389160006,1.46000,
-0.00389120006,1.50000,
-0.00389080006,1.50000,
-0.00389040005,1.52000,
-0.00389000005,1.48000,
-0.00388960005,1.52000,
-0.00388920004,1.50000,
-0.00388880004,1.52000,
-0.00388840004,1.52000,
-0.00388800004,1.50000,
-0.00388760003,1.50000,
-0.00388720003,1.50000,
-0.00388680003,1.50000,
-0.00388640002,1.52000,
-0.00388600002,1.52000,
-0.00388560002,1.52000,
-0.00388520001,1.50000,
-0.00388480001,1.50000,
-0.00388440001,1.52000,
-0.00388400001,1.52000,
-0.00388360000,1.52000,
-0.00388320000,1.52000,
-0.00388280000,1.52000,
-0.00388239999,1.52000,
-0.00388199999,1.54000,
-0.00388159999,1.52000,
-0.00388119998,1.54000,
-0.00388079998,1.50000,
-0.00388039998,1.52000,
-0.00387999997,1.54000,
-0.00387959997,1.52000,
-0.00387919997,1.52000,
-0.00387879997,1.54000,
-0.00387839996,1.52000,
-0.00387799996,1.54000,
-0.00387759996,1.54000,
-0.00387719995,1.54000,
-0.00387679995,1.52000,
-0.00387639995,1.52000,
-0.00387599994,1.52000,
-0.00387559994,1.52000,
-0.00387519994,1.52000,
-0.00387479994,1.52000,
-0.00387439993,1.52000,
-0.00387399993,1.50000,
-0.00387360016,1.52000,
-0.00387320016,1.56000,
-0.00387280015,1.56000,
-0.00387240015,1.56000,
-0.00387200015,1.52000,
-0.00387160014,1.52000,
-0.00387120014,1.54000,
-0.00387080014,1.56000,
-0.00387040013,1.54000,
-0.00387000013,1.52000,
-0.00386960013,1.54000,
-0.00386920013,1.54000,
-0.00386880012,1.52000,
-0.00386840012,1.54000,
-0.00386800012,1.52000,
-0.00386760011,1.50000,
-0.00386720011,1.52000,
-0.00386680011,1.52000,
